contenu_textuel_extrait,contenu_textuel_nettoye,tokens,stemmed_tokens,lemmatized_tokens
The Role of Telomerase in Breast Cancer's Response to Therapy - PubMed,the role of telomerase in breast cancers response to therapy pubmed,"['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancers', 'response', 'to', 'therapy', 'pubmed']","['the', 'role', 'of', 'telomeras', 'in', 'breast', 'cancer', 'respons', 'to', 'therapi', 'pubm']","['the', 'role', 'of', 'telomerase', 'in', 'breast', 'cancer', 'response', 'to', 'therapy', 'pubmed']"
This site needs JavaScript to work properly. Please enable it to take advantage of the complete set of features!,this site needs javascript to work properly please enable it to take advantage of the complete set of features,"['this', 'site', 'needs', 'javascript', 'to', 'work', 'properly', 'please', 'enable', 'it', 'to', 'take', 'advantage', 'of', 'the', 'complete', 'set', 'of', 'features']","['thi', 'site', 'need', 'javascript', 'to', 'work', 'properli', 'pleas', 'enabl', 'it', 'to', 'take', 'advantag', 'of', 'the', 'complet', 'set', 'of', 'featur']","['this', 'site', 'need', 'javascript', 'to', 'work', 'properly', 'please', 'enable', 'it', 'to', 'take', 'advantage', 'of', 'the', 'complete', 'set', 'of', 'feature']"
"Clipboard, Search History, and several other advanced features are temporarily unavailable.",clipboard search history and several other advanced features are temporarily unavailable,"['clipboard', 'search', 'history', 'and', 'several', 'other', 'advanced', 'features', 'are', 'temporarily', 'unavailable']","['clipboard', 'search', 'histori', 'and', 'sever', 'other', 'advanc', 'featur', 'are', 'temporarili', 'unavail']","['clipboard', 'search', 'history', 'and', 'several', 'other', 'advanced', 'feature', 'are', 'temporarily', 'unavailable']"
Skip to main page content,skip to main page content,"['skip', 'to', 'main', 'page', 'content']","['skip', 'to', 'main', 'page', 'content']","['skip', 'to', 'main', 'page', 'content']"
An official website of the United States government,an official website of the united states government,"['an', 'official', 'website', 'of', 'the', 'united', 'states', 'government']","['an', 'offici', 'websit', 'of', 'the', 'unit', 'state', 'govern']","['an', 'official', 'website', 'of', 'the', 'united', 'state', 'government']"
Here's how you know,heres how you know,"['heres', 'how', 'you', 'know']","['here', 'how', 'you', 'know']","['here', 'how', 'you', 'know']"
The .gov means it’s official.,the gov means its official,"['the', 'gov', 'means', 'its', 'official']","['the', 'gov', 'mean', 'it', 'offici']","['the', 'gov', 'mean', 'it', 'official']"
Federal government websites often end in .gov or .mil. Before,federal government websites often end in gov or mil before,"['federal', 'government', 'websites', 'often', 'end', 'in', 'gov', 'or', 'mil', 'before']","['feder', 'govern', 'websit', 'often', 'end', 'in', 'gov', 'or', 'mil', 'befor']","['federal', 'government', 'website', 'often', 'end', 'in', 'gov', 'or', 'mil', 'before']"
"sharing sensitive information, make sure you’re on a federal",sharing sensitive information make sure youre on a federal,"['sharing', 'sensitive', 'information', 'make', 'sure', 'youre', 'on', 'a', 'federal']","['share', 'sensit', 'inform', 'make', 'sure', 'your', 'on', 'a', 'feder']","['sharing', 'sensitive', 'information', 'make', 'sure', 'youre', 'on', 'a', 'federal']"
government site.,government site,"['government', 'site']","['govern', 'site']","['government', 'site']"
