contenu_textuel_extrait,contenu_textuel_nettoye
The Role of Telomerase in Breast Cancer's Response to Therapy - PubMed,the role of telomerase in breast cancers response to therapy pubmed
This site needs JavaScript to work properly. Please enable it to take advantage of the complete set of features!,this site needs javascript to work properly please enable it to take advantage of the complete set of features
"Clipboard, Search History, and several other advanced features are temporarily unavailable.",clipboard search history and several other advanced features are temporarily unavailable
Skip to main page content,skip to main page content
An official website of the United States government,an official website of the united states government
Here's how you know,heres how you know
The .gov means it’s official.,the gov means its official
Federal government websites often end in .gov or .mil. Before,federal government websites often end in gov or mil before
"sharing sensitive information, make sure you’re on a federal",sharing sensitive information make sure youre on a federal
government site.,government site
The site is secure.,the site is secure
The https:// ensures that you are connecting to the,the ensures that you are connecting to the
official website and that any information you provide is encrypted,official website and that any information you provide is encrypted
and transmitted securely.,and transmitted securely
Log in,log in
Show account info,show account info
Close,close
Account,account
Logged in as:,logged in as
username,username
Dashboard,dashboard
Publications,publications
Account settings,account settings
Log out,log out
Access keys,access keys
NCBI Homepage,ncbi homepage
MyNCBI Homepage,myncbi homepage
Main Content,main content
Main Navigation,main navigation
Search:,search
Search,search
Advanced,advanced
Clipboard,clipboard
User Guide,user guide
Save,save
Email,email
Send to,send to
Clipboard,clipboard
My BibliographyCollectionsCitation manager,my bibliographycollectionscitation manager
Display options,display options
Display options,display options
Format,format
Abstract,abstract
PubMed,pubmed
PMID,pmid
Save citation to file,save citation to file
Format:,format
Summary (text),summary text
PubMed,pubmed
PMID,pmid
Abstract (text),abstract text
CSV,csv
Create file,create file
Cancel,cancel
Email citation,email citation
Subject:,subject
1 selected item: 36361634 - PubMed,1 selected item 36361634 pubmed
To:,to
From:,from
Format:,format
Summary,summary
Summary (text),summary text
Abstract,abstract
Abstract (text),abstract text
MeSH and other data,mesh and other data
Send email,send email
Cancel,cancel
Add to Collections,add to collections
Create a new collection,create a new collection
Add to an existing collection,add to an existing collection
Name your collection:,name your collection
Name must be less than 100 characters,name must be less than 100 characters
Choose a collection:,choose a collection
Unable to load your collection due to an error,unable to load your collection due to an error
Please try again,please try again
Add,add
Cancel,cancel
Add to My Bibliography,add to my bibliography
My Bibliography,my bibliography
Unable to load your delegates due to an error,unable to load your delegates due to an error
Please try again,please try again
Add,add
Cancel,cancel
Your saved search,your saved search
Name of saved search:,name of saved search
Search terms:,search terms
Test search terms,test search terms
Would you like email updates of new search results?,would you like email updates of new search results
Saved Search Alert Radio Buttons,saved search alert radio buttons
Yes,yes
No,no
Email:,email
(change),change
Frequency:,frequency
Monthly,monthly
Weekly,weekly
Daily,daily
Which day?,which day
The first Sunday,the first sunday
The first Monday,the first monday
The first Tuesday,the first tuesday
The first Wednesday,the first wednesday
The first Thursday,the first thursday
The first Friday,the first friday
The first Saturday,the first saturday
The first day,the first day
The first weekday,the first weekday
